city,state,population
Joliet,Illinois,147344
Murfreesboro,Tennessee,146900
Midland,Texas,146038
Rockford,Illinois,145609
Paterson,New Jersey,145233
Savannah,Georgia,144464
Bridgeport,Connecticut,144399
Torrance,California,143592
McAllen,Texas,143268
Syracuse,New York,142327
Surprise,Arizona,141664
Denton,Texas,141541
Roseville,California,141500
Thornton,Colorado,141464
Miramar,Florida,141191
Pasadena,California,141029
Mesquite,Texas,140937
Olathe,Kansas,140545
Dayton,Ohio,140407
Carrollton,Texas,139248
Waco,Texas,139236
Orange,California,138669
Fullerton,California,138632
Charleston,South Carolina,137566
West Valley City,Utah,135248
Visalia,California,134605
Hampton,Virginia,134510
Gainesville,Florida,133997
Warren,Michigan,133943
Coral Springs,Florida,133759
Cedar Rapids,Iowa,133562
Round Rock,Texas,133372
Sterling Heights,Michigan,132438
Kent,Washington,132319
Columbia,South Carolina,131674
Santa Clara,California,130365
New Haven,Connecticut,130250
Stamford,Connecticut,129638
Concord,California,129295
Elizabeth,New Jersey,129216
Athens-Clarke County,Georgia,126913
Thousand Oaks,California,126813
Lafayette,Louisiana,126185
Simi Valley,California,125613
Topeka,Kansas,125310
Norman,Oklahoma,124880
Fargo,North Dakota,124662
Wilmington,North Carolina,123744
Abilene,Texas,123420
Odessa,Texas,123334
Columbia,Missouri,123195
Pearland,Texas,122460
Victorville,California,122385
Hartford,Connecticut,122105
Vallejo,California,121692
Allentown,Pennsylvania,121442
Berkeley,California,121363
Richardson,Texas,121323
Arvada,Colorado,121272
Ann Arbor,Michigan,119980
Rochester,Minnesota,118935
Cambridge,Massachusetts,118927
Sugar Land,Texas,118488
Lansing,Michigan,118210
Evansville,Indiana,117979
College Station,Texas,117911
Fairfield,California,117133
Clearwater,Florida,116946
Beaumont,Texas,116825
Independence,Missouri,116672
Provo,Utah,116618
West Jordan,Utah,116480
Murrieta,California,116223
Palm Bay,Florida,115552
El Monte,California,115487
Carlsbad,California,115382
North Charleston,South Carolina,115382
Temecula,California,114761
Clovis,California,114584
Springfield,Illinois,114230
Meridian,Idaho,114161
Westminster,Colorado,113166
Costa Mesa,California,113003
High Point,North Carolina,112791
Manchester,New Hampshire,112673
Pueblo,Colorado,112361
Lakeland,Florida,112136
Pompano Beach,Florida,112118
West Palm Beach,Florida,111955
Antioch,California,111502
Everett,Washington,111475
Downey,California,111126
Lowell,Massachusetts,110997
Centennial,Colorado,110937
Elgin,Illinois,110849
Richmond,California,110567
Peoria,Illinois,110417
Broken Arrow,Oklahoma,110198
Miami Gardens,Florida,110001
Billings,Montana,109577
Jurupa Valley,California,109527
Sandy Springs,Georgia,109452
Gresham,Oregon,109381
Lewisville,Texas,109212
Hillsboro,Oregon,109128
Ventura,California,109106
Greeley,Colorado,108649
Inglewood,California,108151
Waterbury,Connecticut,107568
League City,Texas,107536
Santa Maria,California,107263
Tyler,Texas,106985
Davie,Florida,106306
Daly City,California,106280
Boulder,Colorado,105673
Allen,Texas,105623
West Covina,California,105101
Sparks,Nevada,105006
Wichita Falls,Texas,104683
Green Bay,Wisconsin,104578
San Mateo,California,104430
Norwalk,California,103949
Rialto,California,103526
Las Cruces,New Mexico,103432
Chico,California,103301
El Cajon,California,102708
Burbank,California,102511
South Bend,Indiana,102026
Renton,Washington,101751
Vista,California,101638
Davenport,Iowa,101590
Edinburg,Texas,101170
Tuscaloosa,Alabama,101129
Carmel,Indiana,101068
Spokane Valley,Washington,101060
San Angelo,Texas,101004
Vacaville,California,100670
Bend,Oregon,100421
Kenosha,Wisconsin,99944
Boca Raton,Florida,99805
Lee's Summit,Missouri,99357
Nampa,Idaho,99277
Rio Rancho,New Mexico,99178
South Fulton,Georgia,99155
Roanoke,Virginia,99143
Beaverton,Oregon,99037
Yuma,Arizona,98285
Lawrence,Kansas,98193
Orem,Utah,97828
Longmont,Colorado,97261
San Marcos,California,96664
Albany,New York,96460
Sandy,Utah,96380
Concord,North Carolina,96341
Federal Way,Washington,96289
Hesperia,California,95750
Brockton,Massachusetts,95708
Compton,California,95605
Flint,Michigan,95538
Erie,Pennsylvania,95508
New Bedford,Massachusetts,95363
Fishers,Indiana,95310
Sunrise,Florida,95166
Roswell,Georgia,94763
Menifee,California,94756
Tracy,California,94740
Plantation,Florida,94580
Quincy,Massachusetts,94470
Portsmouth,Virginia,94398
Mission Viejo,California,94381
Chino,California,94371
Lynn,Massachusetts,94299
Edmond,Oklahoma,94054
Dearborn,Michigan,93932
Livonia,Michigan,93665
Yakima,Washington,93637
South Gate,California,93444
Greenville,North Carolina,93400
Lawton,Oklahoma,93025
Kirkland,Washington,93010
Asheville,North Carolina,92870
Deltona,Florida,92757
Redding,California,92590
Bellingham,Washington,92314
Suffolk,Virginia,92108
Indio,California,91765
Mount Pleasant,South Carolina,91684
Carson,California,91394
Santa Barbara,California,91364
Conroe,Texas,91079
Westminster,California,90643
Santa Monica,California,90401
New Braunfels,Texas,90209
Livermore,California,90189
Palm Coast,Florida,89800
St. George,Utah,89587
Fall River,Massachusetts,89541
Nashua,New Hampshire,89355
Champaign,Illinois,88909
Miami Beach,Florida,88885
Norwalk,Connecticut,88816
San Leandro,California,88815
O'Fallon,Missouri,88673
Newton,Massachusetts,88414
Reading,Pennsylvania,88375
Avondale,Arizona,87931
Fort Smith,Arkansas,87891
Citrus Heights,California,87796
Ogden,Utah,87773
Fayetteville,Arkansas,87590
Fort Myers,Florida,87103
Goodyear,Arizona,86840
Bryan,Texas,86276
Waukegan,Illinois,86075
Hawthorne,California,86068
Redwood City,California,85925
Hoover,Alabama,85768
Bloomington,Indiana,85755
Duluth,Minnesota,85618
Lake Forest,California,85531
Hemet,California,85334
Whittier,California,85098
Clifton,New Jersey,85052
Largo,Florida,84948
Bloomington,Minnesota,84943
Danbury,Connecticut,84694
Santa Fe,New Mexico,84683
Johns Creek,Georgia,84579
Newport Beach,California,84534
Kennewick,Washington,84347
Mission,Texas,84331
Milpitas,California,84196
Troy,Michigan,84092
Chino Hills,California,83853
Alhambra,California,83750
Merced,California,83676
Trenton,New Jersey,83203
Franklin,Tennessee,83097
Medford,Oregon,83072
Melbourne,Florida,83029
Manteca,California,83028
Mountain View,California,82739
Sioux City,Iowa,82651
Lynchburg,Virginia,82168
Buena Park,California,81788
Pleasanton,California,81777
Longview,Texas,81631
Westland,Michigan,81511
Auburn,Washington,81464
Cranston,Rhode Island,81456
Somerville,Massachusetts,81360
Folsom,California,81328
Springdale,Arkansas,81125
Deerfield Beach,Florida,81066
Warwick,Rhode Island,81004
Cicero,Illinois,80796
Farmington Hills,Michigan,80612
Brooklyn Park,Minnesota,80389
Lawrence,Massachusetts,80028
Plymouth,Minnesota,79768
Buckeye,Arizona,79620
Georgetown,Texas,79604
Cedar Park,Texas,79462
Tustin,California,79348
Lakewood,California,79307
Perris,California,79291
Flower Mound,Texas,79135
Pharr,Texas,79112
Loveland,Colorado,78877
Boynton Beach,Florida,78679
New Rochelle,New York,78557
Temple,Texas,78439
Lake Charles,Louisiana,78396
Jonesboro,Arkansas,78394
Napa,California,78130
Parma,Ohio,78103
Layton,Utah,78014
Alameda,California,77624
Warner Robins,Georgia,77617
Rapid City,South Dakota,77503
Bloomington,Illinois,77330
Gastonia,North Carolina,77273
Baytown,Texas,77192
Upland,California,77140
Racine,Wisconsin,76760
Scranton,Pennsylvania,76653
South Jordan,Utah,76598
Bellflower,California,76435
Kalamazoo,Michigan,76200
San Ramon,California,75995
Bethlehem,Pennsylvania,75815
Wyoming,Michigan,75667
Hammond,Indiana,75522
Missoula,Montana,75516
Missouri City,Texas,75457
Pasco,Washington,75432
Baldwin Park,California,75251
Iowa City,Iowa,75130
Rancho Cordova,California,75087
Rock Hill,South Carolina,75048
Flagstaff,Arizona,75038
Gary,Indiana,74879
St. Joseph,Missouri,74875
Arlington Heights,Illinois,74760
Bolingbrook,Illinois,74545
Rochester Hills,Michigan,74516
Framingham,Massachusetts,74416
Union City,California,74107
Appleton,Wisconsin,74098
Turlock,California,73631
Camden,New Jersey,73562
Bismarck,North Dakota,73529
Evanston,Illinois,73473
Apple Valley,California,73453
Schaumburg,Illinois,72887
Woodbury,Minnesota,72828
Kissimmee,Florida,72717
Southfield,Michigan,72689
Maple Grove,Minnesota,72622
Pittsburg,California,72588
New Britain,Connecticut,72495
Jacksonville,North Carolina,72436
Mansfield,Texas,72419
Waukesha,Wisconsin,72299
Frederick,Maryland,72244
Albany,Georgia,72130
Pawtucket,Rhode Island,72117
Redmond,Washington,71929
Lauderhill,Florida,71868
Lafayette,Indiana,71721
Gulfport,Mississippi,71705
Redlands,California,71513
Weston,Florida,71166
St. Charles,Missouri,71028
Decatur,Illinois,70746
North Port,Florida,70724
North Richland Hills,Texas,70670
Greenville,South Carolina,70635
Bowling Green,Kentucky,70543
Broomfield,Colorado,70465
Canton,Ohio,70447
Marysville,Washington,70298
Walnut Creek,California,70166
Wilmington,Delaware,70166
Camarillo,California,69888
Lynwood,California,69887
Lehi,Utah,69724
Passaic,New Jersey,69703
Homestead,Florida,69523
Delray Beach,Florida,69451
Davis,California,69413
Lake Elsinore,California,69283
Daytona Beach,Florida,69186
Dothan,Alabama,68941
Rocklin,California,68823
Eau Claire,Wisconsin,68802
Rogers,Arkansas,68669
Castle Rock,Colorado,68484
St. Cloud,Minnesota,68462
Bossier City,Louisiana,68159
Rockville,Maryland,68079
Muncie,Indiana,67999
Gaithersburg,Maryland,67985
Union City,New Jersey,67982
West Des Moines,Iowa,67899
South San Francisco,California,67789
Yorba Linda,California,67644
Conway,Arkansas,67638
Lodi,California,67586
Palatine,Illinois,67482
Ankeny,Iowa,67355
Mount Vernon,New York,67345
Rowlett,Texas,67339
Waterloo,Iowa,67328
Lakeville,Minnesota,67317
Alpharetta,Georgia,67213
Jackson,Tennessee,67191
Yuba City,California,67010
Oshkosh,Wisconsin,67004
Victoria,Texas,66916
Johnson City,Tennessee,66906
Redondo Beach,California,66749
Tamarac,Florida,66721
Laguna Niguel,California,66385
Eagan,Minnesota,66372
Kenner,Louisiana,66340
Auburn,Alabama,66259
Ames,Iowa,66258
Portland,Maine,66215
North Little Rock,Arkansas,65903
Sammamish,Washington,65892
Madera,California,65860
Shawnee,Kansas,65807
Jupiter,Florida,65791
Doral,Florida,65741
Blaine,Minnesota,65607
Tulare,California,65496
Youngstown,Ohio,65469
Wellington,Florida,65398
Pflugerville,Texas,65380
Palo Alto,California,65364
Schenectady,New York,65273
Harlingen,Texas,65022
Bayonne,New Jersey,64897
Eden Prairie,Minnesota,64893
Port Orange,Florida,64842
Dublin,California,64826
San Marcos,Texas,64776
Noblesville,Indiana,64668
Santa Cruz,California,64608
Janesville,Wisconsin,64575
San Clemente,California,64558
Brentwood,California,64474
East Orange,New Jersey,64367
Cheyenne,Wyoming,64235
Eastvale,California,64157
Chapel Hill,North Carolina,64051
Haverhill,Massachusetts,64014
Lorain,Ohio,63855
Grand Junction,Colorado,63597
Springfield,Oregon,63230
Coon Rapids,Minnesota,62998
Idaho Falls,Idaho,62888
North Miami,Florida,62822
Encinitas,California,62709
Skokie,Illinois,62700
Leander,Texas,62608
Waltham,Massachusetts,62495
Council Bluffs,Iowa,62166
Hamilton,Ohio,62082
Moore,Oklahoma,62055
Pico Rivera,California,62027
Montebello,California,61954
Millcreek,Utah,61450
Sanford,Florida,61448
National City,California,61394
Burnsville,Minnesota,61339
Coconut Creek,Florida,61248
Lakewood,Washington,61037
Taylor,Michigan,60922
Novi,Michigan,60896
Marietta,Georgia,60867
Ocala,Florida,60786
Terre Haute,Indiana,60622
Woodland,California,60548
Petaluma,California,60520
La Habra,California,60513
Malden,Massachusetts,60470
Commerce City,Colorado,60336
Owensboro,Kentucky,60131
Bristol,Connecticut,59947
West Allis,Wisconsin,59890
Taylorsville,Utah,59805
Utica,New York,59750
Monterey Park,California,59669
Bonita Springs,Florida,59637
Porterville,California,59599
Greenwood,Indiana,59458
Bartlett,Tennessee,59440
Bradenton,Florida,59439
Vineland,New Jersey,59439
Pontiac,Michigan,59438
Meriden,Connecticut,59395
Gardena,California,59329
Apex,North Carolina,59300
Royal Oak,Michigan,59277
Cupertino,California,59276
Lancaster,Pennsylvania,59265
La Mesa,California,59249
Gilroy,California,59032
St. Clair Shores,Michigan,58984
Des Plaines,Illinois,58899
Springfield,Ohio,58877
Corvallis,Oregon,58856
Margate,Florida,58796
Bowie,Maryland,58643
Casa Grande,Arizona,58632
Caldwell,Idaho,58481
San Rafael,California,58440
Great Falls,Montana,58434
Sarasota,Florida,58285
Richland,Washington,58225
St. Peters,Missouri,58212
Hendersonville,Tennessee,58113
White Plains,New York,58109
Huntersville,North Carolina,58098
Santee,California,58081
Kokomo,Indiana,58020
Arcadia,California,57939
Casper,Wyoming,57931
Dubuque,Iowa,57882
Orland Park,Illinois,57857
Weymouth Town,Massachusetts,57746
Parker,Colorado,57706
Palm Beach Gardens,Florida,57704
Hanford,California,57703
Huntington Park,California,57509
Taunton,Massachusetts,57464
Midwest City,Oklahoma,57407
Medford,Massachusetts,57341
Euless,Texas,57197
Shoreline,Washington,57027
Smyrna,Georgia,56666
Pocatello,Idaho,56637
Valdosta,Georgia,56457
Carson City,Nevada,55916
Lake Havasu City,Arizona,55865
Grand Forks,North Dakota,55839
Blue Springs,Missouri,55829
Southaven,Mississippi,55780
Tinley Park,Illinois,55773
Diamond Bar,California,55720
New Brunswick,New Jersey,55676
Lenexa,Kansas,55625
Brookhaven,Georgia,55554
Novato,California,55516
Tigard,Oregon,55514
Highland,California,55417
Fountain Valley,California,55357
Dearborn Heights,Michigan,55353
Albany,Oregon,55338
Grapevine,Texas,55281
Apple Valley,Minnesota,55135
Chicopee,Massachusetts,55126
Hempstead,New York,55113
Oak Lawn,Illinois,55022
Cathedral City,California,55007
Bentonville,Arkansas,54909
Stonecrest,Georgia,54903
Kettering,Ohio,54855
Colton,California,54824
Anderson,Indiana,54765
West Haven,Connecticut,54620
Burlington,North Carolina,54606
Manhattan,Kansas,54604
St. Cloud,Florida,54579
Normal,Illinois,54469
Decatur,Alabama,54445
Berwyn,Illinois,54391
Port Arthur,Texas,54280
Kingsport,Tennessee,54127
Minnetonka,Minnesota,54064
Rosemead,California,54058
Paramount,California,53955
Rocky Mount,North Carolina,53922
Yucaipa,California,53921
Watsonville,California,53856
Elyria,Ohio,53757
Leesburg,Virginia,53727
Mount Prospect,Illinois,53719
Pinellas Park,Florida,53637
Delano,California,53573
Bellevue,Nebraska,53544
West Sacramento,California,53519
Apopka,Florida,53447
Palm Desert,California,53275
Milford,Connecticut,53195
Little Elm,Texas,53126
Revere,Massachusetts,53073
Peabody,Massachusetts,53070
Wylie,Texas,53067
Harrisonburg,Virginia,53016
DeSoto,Texas,52988
Pensacola,Florida,52975
Olympia,Washington,52882
Edina,Minnesota,52857
Wheaton,Illinois,52745
West New York,New Jersey,52723
Hoboken,New Jersey,52677
Lacey,Washington,52592
Summerville,South Carolina,52549
Coeur d'Alene,Idaho,52414
Oak Park,Illinois,52381
Elkhart,Indiana,52358
Maricopa,Arizona,52127
Kentwood,Michigan,51898
Madison,Alabama,51593
Smyrna,Tennessee,51586
Glendora,California,51544
Logan,Utah,51542
Burien,Washington,51500
Perth Amboy,New Jersey,51390
Herriman,Utah,51348
Grand Island,Nebraska,51267
Placentia,California,51233
La Crosse,Wisconsin,51227
Battle Creek,Michigan,51093
Beaumont,California,51063
Collierville,Tennessee,51040
West Lafayette,Indiana,50996
Florissant,Missouri,50952
Hoffman Estates,Illinois,50932
Joplin,Missouri,50925
Queen Creek,Arizona,50890
Aliso Viejo,California,50887
Kannapolis,North Carolina,50841
Methuen Town,Massachusetts,50706
Galveston,Texas,50446
Mishawaka,Indiana,50363
Plainfield,New Jersey,50317
Newark,Ohio,50315
Stillwater,Oklahoma,50299
Twin Falls,Idaho,50197
Texas City,Texas,50094
Azusa,California,49974
Cerritos,California,49859
Bozeman,Montana,49831
Coral Gables,Florida,49700
Enid,Oklahoma,49688
Lakewood,Ohio,49678
Lawrence,Indiana,49462
Wilson,North Carolina,49459
Portage,Michigan,49445
Dunwoody,Georgia,49356
Poway,California,49323
Harrisburg,Pennsylvania,49271
San Jacinto,California,49215
Troy,New York,49154
Newark,California,49149
Cuyahoga Falls,Ohio,49106
Downers Grove,Illinois,49057
Bedford,Texas,49049
Dublin,Ohio,49037
Marana,Arizona,49030
Cypress,California,49006
Murray,Utah,48917
Middletown,Ohio,48807
Ceres,California,48706
St. Louis Park,Minnesota,48662
Draper,Utah,48587
Palm Springs,California,48518
Kyle,Texas,48393
Lincoln,California,48275
Ocoee,Florida,48263
Burleson,Texas,48225
La Mirada,California,48183
Farmers Branch,Texas,48158
East Lansing,Michigan,48145
Jeffersonville,Indiana,48126
Wauwatosa,Wisconsin,48118
Saginaw,Michigan,48115
Littleton,Colorado,48065
Columbus,Indiana,48046
Sheboygan,Wisconsin,47965
Cedar Hill,Texas,47930
Rancho Santa Margarita,California,47896
Beavercreek,Ohio,47741
Niagara Falls,New York,47720
East Providence,Rhode Island,47618
Roswell,New Mexico,47551
Chesterfield,Missouri,47538
San Luis Obispo,California,47459
Covina,California,47450
Bothell,Washington,47415
Minot,North Dakota,47382
Glenview,Illinois,47308
Monroe,Louisiana,47294
Charlottesville,Virginia,47266
Mentor,Ohio,47262
Keller,Texas,47213
Roseville,Michigan,47018
Elmhurst,Illinois,46746
Mansfield,Ohio,46599
Titusville,Florida,46580
Euclid,Ohio,46550
Salina,Kansas,46550
Charleston,West Virginia,46536
Prescott Valley,Arizona,46515
Everett,Massachusetts,46451
Middletown,Connecticut,46258
Biloxi,Mississippi,46212
Alexandria,Louisiana,46180
Fort Pierce,Florida,46103
Winter Garden,Florida,46051
Oro Valley,Arizona,46044
Morgan Hill,California,45952
Rockwall,Texas,45888
Hattiesburg,Mississippi,45863
Coachella,California,45743
Wake Forest,North Carolina,45629
Cleveland,Tennessee,45504
Attleboro,Massachusetts,45237
Oakland Park,Florida,45202
Huntington,West Virginia,45110
Winter Haven,Florida,44955
Strongsville,Ohio,44660
Danville,California,44510
Barnstable Town,Massachusetts,44477
Riverton,Utah,44440
The Colony,Texas,44438
Binghamton,New York,44399
Urbandale,Iowa,44379
Farmington,New Mexico,44372
Plainfield,Illinois,44308
Lombard,Illinois,44303
Prescott,Arizona,44299
North Lauderdale,Florida,44262
Blacksburg,Virginia,44233
Hackensack,New Jersey,44188
Sayreville,New Jersey,44173
Altamonte Springs,Florida,44143
El Centro,California,44079
Sherman,Texas,44002
Cleveland Heights,Ohio,43992
Bountiful,Utah,43981
York,Pennsylvania,43932
Peachtree Corners,Georgia,43905
Haltom City,Texas,43874
Spring Hill,Tennessee,43769
Ormond Beach,Florida,43759
Cutler Bay,Florida,43718
Goose Creek,South Carolina,43665
Moorhead,Minnesota,43652
Westfield,Indiana,43649
Concord,New Hampshire,43627
Altoona,Pennsylvania,43364
Rohnert Park,California,43291
Fond du Lac,Wisconsin,43263
Brea,California,43255
Gainesville,Georgia,43232
Salem,Massachusetts,43226
Sierra Vista,Arizona,43045
North Miami Beach,Florida,43041
Freeport,New York,42956
Mankato,Minnesota,42931
Gallatin,Tennessee,42918
Lompoc,California,42853
DeKalb,Illinois,42847
Burlington,Vermont,42819
San Bruno,California,42807
Brentwood,Tennessee,42783
Jefferson City,Missouri,42708
Edmonds,Washington,42605
Apache Junction,Arizona,42571
Fairfield,Ohio,42558
Oakley,California,42543
Linden,New Jersey,42361
Puyallup,Washington,42361
Huntsville,Texas,42241
Urbana,Illinois,42214
Beverly,Massachusetts,42174
State College,Pennsylvania,42160
Pittsfield,Massachusetts,42142
Schertz,Texas,42042
Bell Gardens,California,42012
Oviedo,Florida,41860
Grove City,Ohio,41820
Campbell,California,41793
Wentzville,Missouri,41784
Woonsocket,Rhode Island,41751
La Quinta,California,41748
Leominster,Massachusetts,41716
Midland,Michigan,41701
Weslaco,Texas,41629
Newnan,Georgia,41581
Shakopee,Minnesota,41570
Brighton,Colorado,41554
Rancho Palos Verdes,California,41530
Pine Bluff,Arkansas,41474
Coppell,Texas,41421
Bremerton,Washington,41405
Moline,Illinois,41356
Delaware,Ohio,41283
Findlay,Ohio,41225
Westfield,Massachusetts,41204
Hickory,North Carolina,41171
Shelton,Connecticut,41129
Greenacres,Florida,41117
Westerville,Ohio,41103
Manassas,Virginia,41085
Kearny,New Jersey,41058
Los Banos,California,41036
Spanish Fork,Utah,40913
Belleville,Illinois,40897
Maplewood,Minnesota,40885
Bullhead City,Arizona,40884
Florence,Alabama,40797
Wilkes-Barre,Pennsylvania,40766
Hollister,California,40740
Bartlett,Illinois,40647
Fitchburg,Massachusetts,40638
Cape Girardeau,Missouri,40559
Cedar Falls,Iowa,40536
Lancaster,Ohio,40505
Buffalo Grove,Illinois,40494
Royal Palm Beach,Florida,40396
Hutchinson,Kansas,40383
Marion,Iowa,40359
Covington,Kentucky,40341
Columbia,Tennessee,40335
Friendswood,Texas,40290
Indian Trail,North Carolina,40252
Woburn,Massachusetts,40228
Holyoke,Massachusetts,40117
Hagerstown,Maryland,40100
Montclair,California,40083
Danville,Virginia,40044
Quincy,Illinois,39949
San Gabriel,California,39899
Hilton Head Island,South Carolina,39861
Hallandale Beach,Florida,39847
Crystal Lake,Illinois,39829
Calexico,California,39825
Lake Oswego,Oregon,39822
Romeoville,Illinois,39746
Plant City,Florida,39744
Keizer,Oregon,39713
New Berlin,Wisconsin,39691
Chelsea,Massachusetts,39690
Sumter,South Carolina,39642
La Puente,California,39614
Roy,Utah,39613
Marlborough,Massachusetts,39597
Milton,Georgia,39587
Issaquah,Washington,39509
Lancaster,Texas,39228
Streamwood,Illinois,39228
Germantown,Tennessee,39225
Annapolis,Maryland,39223
Carol Stream,Illinois,39203
Culver City,California,39185
Hobbs,New Mexico,39141
Lynnwood,Washington,39141
Mooresville,North Carolina,39132
Brookfield,Wisconsin,39115
Olive Branch,Mississippi,38924
Northglenn,Colorado,38819
Hot Springs,Arkansas,38797
Norwich,Connecticut,38768
Warren,Ohio,38752
Duncanville,Texas,38751
Hurst,Texas,38655
Clermont,Florida,38654
Wheeling,Illinois,38646
Fort Lee,New Jersey,38605
Wausau,Wisconsin,38561
Pacifica,California,38546
Florence,South Carolina,38531
Lake Worth,Florida,38526
Longview,Washington,38440
Eagle Mountain,Utah,38391
Reynoldsburg,Ohio,38327
Clovis,New Mexico,38319
Tupelo,Mississippi,38312
Rosenberg,Texas,38307
Martinez,California,38297
Pleasant Grove,Utah,38258
Grants Pass,Oregon,38170
Dover,Delaware,38166
Huber Heights,Ohio,38154
Stanton,California,38139
Menomonee Falls,Wisconsin,38014
Waxahachie,Texas,37988
Holly Springs,North Carolina,37812
Atlantic City,New Jersey,37743
Cottage Grove,Minnesota,37604
Valley Stream,New York,37431
Hanover Park,Illinois,37426
Spartanburg,South Carolina,37399
Oregon City,Oregon,37339
Winter Springs,Florida,37312
Carpentersville,Illinois,37254
Wildomar,California,37229
Greenfield,Wisconsin,37221
Braintree Town,Massachusetts,37190
Rock Island,Illinois,37176
Muskogee,Oklahoma,37113
